Index,Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
Aberdeen,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.1,0.62,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abilene,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.45,0,0.2,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0.1,0.5,0,0.15,0,0,0,0,0,0.17,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.82,0,0.07,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.72,0,0,0,0.17,0.05,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adak Island,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguadilla,City,0,0,0,0,0,0,0,0,0,0,0.17,0.3,0.2,0,0,0,0.12,0.12,0.55,0.37,0.02,0.02,0,0,0.2,0.15,0,0.1,0,0.3,0,0,0,0,0,0.05,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.15,0,0.02,0,0,0.02,0,0.07,0,0,0,0,0,0,0,0.25,0,0.27,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.12,0.37,0.8,0.62,0.8,0.82,0.42,0.2,0.07,0.62,0.02,0.22,0.05,0.3,0.15,0.02,0,0.02,0.05,0,0.05,0.05,0,0,0,0.25,0,0,0.05,0.02,0.57,0.12,0.12,0.45,0.37,0.02,0.05,0.07,0.3,0.27,0.02,0,0.42,0.07,0.22,0.02,0.1,0.32,0.42,0.22,0.3,0.65,0.12,0.05,0.07,0.15,0.17,0.07,0.52,0.2,0,0.15,0.12,0.05,0.17,0.07,0.32,0.07,0,0.22,0.12,0.55,0.45,0.35,0.32,0.17,0,0.12,0.1,0.12,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
Albany,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.25,0.42,0.32,2.6,0.62,0.42,0.87,0.5,0.07,0.65,0.15,0.02,0.77,0.25,0,1.1,0.32,0,0.27,0.32,0.15,0.2,0.2,0.22,0.02,0,0.02,0.02,0,0.07,0.1,0,0,0,0.1,0.22,0.05,0.07,0.57,0.55,0.25,0.27,0.27,0.57,0.15,0.07,0.02,0.12,0.05,0.05,0.1,0.27,0.35,0.25,0.8,0.15,0.02,0.12,0.2,0.02,0.22,0.1,0.02,0.15,0.07,0.15,0.1,0.22,0.05,0.62,0.85,0.62,0.05,0.5,0.17,0.4,0.32,0.27,0.02,0.15,0.1,0.3,0.02,0,0.15,0,0,0,0,0,0,0,0.12,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque,City,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.4,0.22,0.57,2.9,0.97,1.52,0.82,0.7,0.92,0.75,0.17,0.6,0.6,0.22,0.07,1.67,0.25,0.05,0.45,0.37,0.4,0.67,0.3,0.32,0,0.32,0.45,0.8,0.55,0.35,0.77,0.45,0.47,0.42,0.55,0.65,0.62,0.12,0.45,0.5,0.47,1.4,1.25,1.02,0.45,0.65,1.1,0.27,0.37,0.2,0.5,0.05,0.35,0.67,1.25,0.35,0.85,0.77,0.47,0.47,0.42,0.45,0.47,0.12,0.92,1.1,0.52,0.7,0.37,0.25,0.85,0.6,0.9,0.5,0.57,0.27,0.67,0.3,0.87,0.45,0.65,0.17,0.15,0.42,0.47,0.35,0.37,0.1,0.5,0.07,0.1,0.02,0.1,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0.27,0.37
Alexandria,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1.12,0,0.25,0.45,0.32,0.27,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.1,0,0.4,0.27,0.02,0.15,0.02,0,0.22,0.42,0.22,0,0.12,0,0,0,0,0.02,0.02,0.1,0.5,0.1,0.25,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.12,0.57,0.62,0.02,0.02,0.2,0,0.02,0.32,0,0,0,0,0.07,0.45,0.05,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allentown/Bethlehem/Easton,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.32,0.1,0.25,0.57,0.07,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0.07,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0.62,0.02,0,0,0.05,0.27,0.42,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0.02,0,0.47,0.2,0,0,0.12,0.05,0.1,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpena,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.35,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amarillo,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.22,0.37,0,0,0.1,0.47,0.25,0.2,0,0.15,0.07,0.47,0.17,0,0,0.02,0.05,0.1,0.02,0.02,0.02,0,0.05,0.42,0.25,0.22,0,0,0.35,0.07,0,0.15,0.35,0.02,0.07,0,0,0,0,0.07,0.12,0.27,0.3,0.32,0.02,0.15,0.07,0.22,0.02,0.17,0.3,0.35,0.2,0.02,0,0.32,0,0.17,0.02,0.07,0.02,0.25,0.07,0.2,0,0.6,0.07,0,0,0.02,0,0,0.2,0.15,0.17,0,0,0,0.22,0.02,0.2,0.12,0,0.32,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,City,0.3,0.17,0.12,0.3,1.97,0.85,0.05,0.35,0.67,0.15,0.37,0.27,0.32,0.15,0,0,0.52,0.12,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.05,0.2,0.57,0.05,0.95,0.6,0.4,0.77,0,0,0.9,0.02,0.02,0.2,0.35,0.72,1.17,0,0,0,0,0.27,0.25,0,0,0,0.22,0.17,0.8,0.45,0.3,0.47,0.2,0,0.35,0.4,0.47,0.77,0.47,0,0.2,0,0.2,0.65,0,0,0,0.02,0.67,0.72,0.05,0.1,0.02,0.07,0.32,0.95,0.42,1.5,0.12,0.25,0.55,1.14,0.2,0.65,0.17,0.37,0.22,0.15,0.95,0,0.02,0,0.17,0.15,0.62,1,0.12,0,0,0,0.07,0.35,0.65,0.85,0,0.02,0.3,0.55,0.75,0.1,0.2,0,0.4,0,0.07,0.02,0.15,0.5,0.55,0.1,0,0,0,0,0,0.27,0.4,0.75,1.07,0.65,0.7,1.2
Appleton,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.62,0.27,0.8,0,0,0.22,0.12,0.1,0.17,0.05,0,0,0,0,0,0,0,0,0.07,0.02,0.05,0,0,0,0,0,0.02,0.07,0,0.32,0.15,0.47,0.02,0.17,0.15,0.05,0.02,0.02,0,0,0,0,0,0.17,0.02,0.2,0.02,0,0.02,0.32,0,0.02,0,0.22,0.07,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.32,0.02,0,0.1,0.8,0.12,0.12,0.02,0,0.17,0,0,0.02,0.2,0.2,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcata/Eureka,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.02,0,0.62,0,0,0.15,0,0,0,0.1,0,0.05,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.15,0,0,0.05,0,0,0,0,0,0,0,0.2,0.35,0.1,0,0.05,0,0,0,0.1,0.1,0,0,0,0.07,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.4,0.02,0.1,0.15,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asheville,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.37,0.42,0.15,0.07,0.12,0,0.12,0.77,0.2,0.05,0.05,0,0,0.12,0,0,0,0,0.02,0,0,0,0,0.02,0.15,0.1,0.05,0.37,0.4,0,0,0,0,0,0,0,0,0.17,0.07,0.1,0,0.1,0.02,0.2,0,0,0.05,0.02,0,0.15,0.1,0.07,0.17,0,0,0.17,0.02,0.05,0.32,0.05,0,0,0.05,0.1,0.02,0,0.25,0.75,0.1,0.2,0.05,0.02,0.02,0.2,0.25,0,0,0.02,0.02,0,0,0.1,0,0.07,0.1,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspen,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.17,0.02,0.02,0.22,0.32,0.17,0.22,0.02,0.17,0.07,0.02,0,0.1,0.1,0.12,0.05,0.1,0.07,0,0,0.12,0.17,0.12,0.05,0.17,0.27,0.1,0,0.07,0.02,0.05,0.12,0.22,0.77,0.07,0.1,0.15,0.17,0.05,0.3,0.2,0.05,0.15,0.05,0.32,0.22,0.07,0.12,0.22,0,0,0,0.12,0.2,0.15,0.02,0,0.02,0.15,0.07,0.1,0.12,0.02,0,0.02,0.37,0.1,0.07,0.05,0,0.02,0.02,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0.77,0.7,1.14,2.7,1.14,1.05,1.7,3.77,1.32,5.17,2.37,10.42,7.82,3.05,1.82,2.65,23.27,14.97,11.1,7.6,10.65,12.55,11.55,5.6,9.8,19.62,16.55,15.07,3.87,14.52,10,6.65,20.77,15.22,6.45,6.4,7.87,6.1,3.55,15.05,14.92,7.12,8.42,6.75,7.97,4.32,2.29,3.62,4.67,25.5,20.6,9.52,4.57,5.27,2.6,6.42,18.92,18.97,13.95,10.27,11.37,6.8,5.2,6.55,16.97,14.55,14,10.17,8.52,4.97,3.05,8.8,12.62,10.8,11.97,5.37,5.52,4.02,3,3.3,9,16.92,15.22,15.55,13.75,11.55,7.37,4.47,2.8,2.57,8.17,24.02,18.57,18.25,9.37,3.17,2.57,8.37,15.12,16.47,14.15,5.27,0.57,0.92,4.75,6.85,3.22,0.25,0.02,0,0
Atlantic City,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0.1,0.35,0.35,0,0.82,0,0,0.17,0.17,0,0,0,0,0.27,0.2,0,0,0,0,0,0,0,0,0,0.32,0.5,0.3,0,0,0,0.3,0,0,0,0,0.12,0,0.8,0.1,0,0,0.05,0.07,0.15,0.15,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.65,0,0.32,0,0.05,0.25,0.3,0,0.45,0.47,0.1,0.1,0,0,0,0,0,0,0.12,0.1,0.17,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusta,City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.05,0,0,0.05,0.67,0.05,0,0,0.1,0.07,0.12,0.07,0.15,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.35,0.32,0,0,0,0,0,0,0.02,0,0.05,0,0,0,0.02,0.02,0.2,0.35,0,0,0,0,0,0,0.02,0,0,0.02,0.1,0.55,0.02,0,0,0.07,0,0,0,0.15,0.05,0,0.15,0.27,0.05,0,0,0,0,0,0,0,0.3,0.32,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
